Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","D_Small","D_SOD-523",125.591800,-85.587116,180.000000,bottom
"D2","D_Small","D_SOD-523",125.591800,-84.096092,180.000000,bottom
"D3","D_Small","D_SOD-523",125.591800,-82.605069,180.000000,bottom
"D4","D_Small","D_SOD-523",125.591800,-81.114046,180.000000,bottom
"D5","D_Small","D_SOD-523",116.752600,-99.151440,180.000000,bottom
"D6","D_Small","D_SOD-523",116.752600,-97.668080,180.000000,bottom
"D7","D_Small","D_SOD-523",116.752600,-96.184720,180.000000,bottom
"D8","D_Small","D_SOD-523",116.752600,-94.701360,180.000000,bottom
"D9","D_Small","D_SOD-523",106.400600,-129.475000,270.000000,bottom
"D10","D_Small","D_SOD-523",104.927400,-129.475000,270.000000,bottom
"D11","D_Small","D_SOD-523",103.454200,-129.475000,270.000000,bottom
"D12","D_Small","D_SOD-523",101.981000,-129.475000,270.000000,bottom
"D13","D_Small","D_SOD-523",74.847200,-106.524600,180.000000,bottom
"D14","D_Small","D_SOD-523",74.847200,-108.023200,180.000000,bottom
"D15","D_Small","D_SOD-523",125.603000,-87.071200,180.000000,bottom
"D16","D_Small","D_SOD-523",116.752600,-93.218000,180.000000,bottom
"D17","D_Small","D_SOD-523",110.504200,-111.048800,180.000000,bottom
"D18","D_Small","D_SOD-523",100.507800,-129.463800,270.000000,bottom
"D19","D_Small","D_SOD-523",99.009200,-129.463800,270.000000,bottom
"D20","D_Small","D_SOD-523",125.591800,-79.654400,180.000000,bottom
"D21","D_Small","D_SOD-523",116.752600,-91.744800,180.000000,bottom
"D22","D_Small","D_SOD-523",110.504200,-109.575600,180.000000,bottom
"D23","D_Small","D_SOD-523",164.082500,-74.993500,0.000000,bottom
"D24","D_Small","D_SOD-523",171.156000,-93.472000,0.000000,bottom
"D25","D_Small","D_SOD-523",186.245500,-110.361500,90.000000,bottom
"D26","D_Small","D_SOD-523",164.084000,-82.359500,0.000000,bottom
"D27","D_Small","D_SOD-523",171.156000,-100.838000,0.000000,bottom
"D28","D_Small","D_SOD-523",193.611500,-110.301000,90.000000,bottom
"D29","D_Small","D_SOD-523",203.717500,-106.259000,270.000000,bottom
"D30","D_Small","D_SOD-523",202.247500,-106.259000,270.000000,bottom
"D31","D_Small","D_SOD-523",164.084000,-80.888399,0.000000,bottom
"D32","D_Small","D_SOD-523",164.084000,-79.422599,0.000000,bottom
"D33","D_Small","D_SOD-523",164.084000,-77.956799,0.000000,bottom
"D34","D_Small","D_SOD-523",164.084000,-76.490999,0.000000,bottom
"D35","D_Small","D_SOD-523",171.156000,-99.364800,0.000000,bottom
"D36","D_Small","D_SOD-523",171.156000,-97.891600,0.000000,bottom
"D37","D_Small","D_SOD-523",171.156000,-96.418400,0.000000,bottom
"D38","D_Small","D_SOD-523",171.156000,-94.945200,0.000000,bottom
"D39","D_Small","D_SOD-523",192.103500,-110.339500,90.000000,bottom
"D40","D_Small","D_SOD-523",190.633500,-110.339500,90.000000,bottom
"D41","D_Small","D_SOD-523",189.163500,-110.339500,90.000000,bottom
"D42","D_Small","D_SOD-523",187.693500,-110.339500,90.000000,bottom
"D43","D_Small","D_SOD-523",206.657500,-106.259000,270.000000,bottom
"D44","D_Small","D_SOD-523",205.187500,-106.259000,270.000000,bottom
"D45","D_Small","D_SOD-523",130.208200,-66.278400,180.000000,bottom
"D46","D_Small","D_SOD-523",130.208200,-64.789600,180.000000,bottom
"D47","D_Small","D_SOD-523",130.208200,-63.300800,180.000000,bottom
"D48","D_Small","D_SOD-523",130.208200,-61.812000,180.000000,bottom
"D49","D_Small","D_SOD-523",130.208200,-67.767200,180.000000,bottom
"D50","D_Small","D_SOD-523",130.208200,-60.323200,180.000000,bottom
"D51","D_Small","D_SOD-523",107.873800,-129.475000,270.000000,bottom
"D52","D_Small","D_SOD-523",156.291000,-60.198000,0.000000,bottom
"D53","D_Small","D_SOD-523",109.347000,-129.475000,270.000000,bottom
"D54","D_Small","D_SOD-523",156.291000,-67.564000,0.000000,bottom
"D55","D_Small","D_SOD-523",156.291000,-66.045485,0.000000,bottom
"D56","D_Small","D_SOD-523",156.291000,-64.592228,0.000000,bottom
"D57","D_Small","D_SOD-523",156.291000,-63.138971,0.000000,bottom
"D58","D_Small","D_SOD-523",156.291000,-61.685714,0.000000,bottom
"R1","5.1K","R_0805_2012Metric",161.780000,-138.020000,270.000000,bottom
"R2","5.1K","R_0805_2012Metric",163.780000,-138.007500,90.000000,bottom
